artist_name,instagram_username,user_id,followers_count,following_count,number_of_posts,biography,external_url
Doja Cat,dojacat,46335750.0,24460431.0,402.0,129.0,,https://dojacat.lnk.to/scarlet
Jung Kook,,,,,,,
Olivia Rodrigo,oliviarodrigo,1625608507.0,34028239.0,0.0,255.0,spicy pisces,https://linktr.ee/oliviarodrigo
Taylor Swift,taylorswift,11830955.0,272311286.0,0.0,605.0,"I’m the problem, it’s me",http://taylorswift.com/
KAROL G,karolg,46864839.0,65706663.0,1137.0,3283.0,MAÑANA SERÁ BONITO 🖤🦈 BICHOTA SEASON,https://karolg.lnk.to/BichotaSeason?fbclid=PAAaaa3EUYOIIzHNkQwZpA2-HVP9Fb9SHWnJOPBwyPyoC6b1sQwiuqDDAPl5Q_aem_AXUSSIS32vsUg149Jf1QonI8VMuEpZO7gUhCLinCXK11577k2GKBvonR5BIEet9rJmk
Myke Towers,myketowers,581700718.0,11362598.0,1387.0,76.0,,http://myketowerspr.com/tour
Dua Lipa,dualipa,12331195.0,88856832.0,1090.0,1535.0,"@service95 
@sunnyhillfestival
@sunnyhillfoundation",http://linktr.ee/dua.lipa
Billie Eilish,billieeilish,28527810.0,110294823.0,0.0,816.0,“What Was I Made For?” out now,https://billieeilish.lnk.to/WWIMF
Quevedo,quevedo.pd,1477798138.0,3006541.0,2035.0,3.0,🅱️,
V,thv,50344278754.0,61728618.0,6.0,97.0,Layover. Out Now,https://youtu.be/eI0iTRS0Ha8?si=F0hHOgQdJ1TMYvLP
Gunna,gunna,16939335.0,4587102.0,259.0,14.0,"GOD SON 🙏🏽 Drip Influencer 🐍💦 | GUNNAWUNNA ♊️ SHADYBABY ✝️ SLIMEY & SHADY 💎
CAPITAL 🅿️",https://gunnawunna.com/products/wun-night-only-new-york-tee
David Kushner,david.kushner,202959624.0,1345764.0,1358.0,103.0,"Daylight (Reimagined) out everywhere
‘tap link to stream’",https://linktr.ee/davidkushner
Peso Pluma,pesopluma,7786022389.0,11107511.0,1287.0,47.0,"🖤🕷️GENESIS OUT NOW🕸️🕷️
@prajinmusicgroup @doubleprecords",https://open.spotify.com/album/6obRcLVFuI4x6jan7GNkYJ?si=hPtbaS-kSuejIXTu993GTA
Dave,santandave,538470529.0,3823432.0,859.0,375.0,,https://youtu.be/xalCsxC0WaE
Arctic Monkeys,arcticmonkeys,1330359280.0,7157136.0,0.0,144.0,The new album ‘The Car’ out now.,http://arcticmonkeys.com/
Harry Styles,harrystyles,144605776.0,49189869.0,400.0,715.0,,http://hstyles.lnk.to/harryshouse
SZA,sza,41195698.0,17695668.0,1157.0,367.0,… - - - …,https://sza.lnk.to/snoozeacoustic
Miley Cyrus,mileycyrus,325734299.0,214430010.0,287.0,1257.0,USED TO BE YOUNG. OUT NOW.,http://mileycyrus.com/
Kenya Grace,,,,,,,
Zach Bryan,zachlanebryan,245878377.0,2998636.0,289.0,320.0,"Give your heart but keep your head.
Ran by management and Z.L. Bryan",http://zachbryanpresale.com/
Calle 24,calle24.oficial,34396691083.0,285250.0,36.0,7.0,"@diegomillan_c24 💎
MAFIA DE LA CALLE💰🥷🏻👹",http://linktr.ee/Calle24.oficial
NewJeans,newjeans_official,51224656988.0,9556338.0,2.0,415.0,We are NewJeans👖,https://newjeans.kr/
Feid,feid,146001379.0,12291694.0,1189.0,5675.0,🇨🇴,
Bad Bunny,badbunnypr,197260775.0,46049966.0,0.0,2.0,,https://rimas.ffm.to/whereshegoes?fbclid=PAAaZETjnQSII3T942Uh6wQmIgO_k4CKmr2UoQfz8kJ7HBJyPKnjVBMhOOb6o
cassö,,,,,,,
Yng Lvcas,yng_lvcas,27493517109.0,213158.0,342.0,32.0,💋🇲🇽 Booking: (+52) 8186 811650 ☎️.                     🌟🔜,https://www.threads.net/@yng_lvcas
Anirudh Ravichander,anirudhofficial,506263213.0,8052103.0,439.0,1434.0,#Chaleya out now,https://bit.ly/Chaleya_Hindi
Nicki Minaj,nickiminaj,451573056.0,226576504.0,632.0,6536.0,"🎀♥️🎀 OUT NOW!!!! #LastTimeISawYou 🎀♥️😘
#PinkFriday2 THE ALBUM 💿 will be released 🎉11.17.23🎉
#QueenRadio is now on #Amp",https://nickiminaj.lnk.to/LTISY
Carin Leon,carinleonoficial,717950715.0,3674847.0,432.0,1541.0,"Pa que sepan como ruge el Leon! 🦁
Registrate para comprar tu boleto 👇",http://carinleonlive.com/
The Weeknd,theweeknd,266319242.0,65107992.0,5.0,925.0,currently touring… 🌎,http://theweeknd.com/tour
Jhayco,jhayco,143692545.0,5328075.0,1088.0,113.0,🦇🦇🦇🦇🦇🦇🦇🦇,https://jhayco.com/
Jasleen Royal,jasleenroyal,632562258.0,2931191.0,918.0,910.0,"Heeriye (out now)
Ranjha (Shershaah)
Sang Rahiyo 
Nit nit 
Kho gaye hum Kahan
Jahaan Tu Chala-Gully Boy 
Din Shagna Da
Love You Zindagi",https://linktr.ee/JasleenRoyal
Peggy Gou,peggygou_,18424545.0,3820507.0,460.0,2398.0,It goes like nanana,http://www.peggygou.com/
Grupo Frontera,grupofrontera,48294181583.0,1773746.0,431.0,65.0,🔥🔥🎶EN ALTAVOZ 📞🔥,https://youtu.be/AobUMrao2X8?si=ai60CYjqhvT0dnTH
