artist_name,instagram_username
Doja Cat,dojacat
Jung Kook,
Olivia Rodrigo,oliviarodrigo
Taylor Swift,taylorswift
KAROL G,karolg
Myke Towers,myketowers
Dua Lipa,dualipa
Billie Eilish,billieeilish
Quevedo,quevedo.pd
V,thv
Gunna,gunna
David Kushner,david.kushner
Peso Pluma,pesopluma
Dave,santandave
Arctic Monkeys,arcticmonkeys
Harry Styles,harrystyles
SZA,sza
Miley Cyrus,mileycyrus
Kenya Grace,
Zach Bryan,zachlanebryan
Calle 24,calle24.oficial
NewJeans,newjeans_official
Feid,feid
Bad Bunny,badbunnypr
cassö,
Yng Lvcas,yng_lvcas
Anirudh Ravichander,anirudhofficial
Nicki Minaj,nickiminaj
Carin Leon,carinleonoficial
The Weeknd,theweeknd
Jhayco,jhayco
Jasleen Royal,jasleenroyal
Peggy Gou,peggygou_
Grupo Frontera,grupofrontera
